	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	NNP	17	nsubj:pass	1	Rudolph	B-PERSON	1	1	Rudolph	0
1	NNP	1	flat	2	Agnew	E-PERSON	1	2	Agnew	0
2	,	1	punct	3	,	O	1	3	,	0
3	CD	5	nummod	4	55	B-DATE	1	4	55	0
4	NNS	6	obl:npmod	5	year	I-DATE	1	5	years	0
5	JJ	1	amod	6	old	E-DATE	1	6	old	0
6	CC	9	cc	7	and	O	1	7	and	0
7	JJ	9	amod	8	former	O	1	8	former	0
8	NN	1	conj	9	chairman	O	1	9	chairman	0
9	IN	14	case	10	of	O	1	10	of	0
10	NNP	14	compound	11	Consolidated	B-ORG	1	11	Consolidated	0
11	NNP	14	compound	12	gold	I-ORG	1	12	Gold	0
12	NNPS	14	compound	13	Fields	I-ORG	1	13	Fields	0
13	NNP	9	nmod	14	PLC	E-ORG	1	14	PLC	0
14	,	17	punct	15	,	O	1	15	,	0
15	VBD	17	aux:pass	16	be	O	1	16	was	0
16	VBN	0	root	17	name	O	1	17	named	0
17	DT	20	det	18	a	O	1	18	a	0
18	JJ	20	amod	19	nonexecutive	O	1	19	nonexecutive	0
19	NN	17	xcomp	20	director	O	1	20	director	0
20	IN	25	case	21	of	O	1	21	of	0
21	DT	25	det	22	this	O	1	22	this	0
22	JJ	25	amod	23	british	S-NORP	1	23	British	0
23	JJ	25	amod	24	industrial	O	1	24	industrial	0
24	NN	20	nmod	25	conglomerate	O	1	25	conglomerate	0
25	.	17	punct	26	.	O	1	26	.	0
